lane,racer_id,racer_name,racer_class,avg_st,racer_win_rate,local_win_rate,motor_2ren,boat_2ren,racer_name_beforeinfo,weight,exhibition_time,tilt,exhibition_st,temperature,wind_speed,water_temperature,wave_height,finish,race_date,jcd,venue,race_no,race_key,trifecta,trifecta_payout_per_100
1,4581,吉村 誠,A1,0.14,6.03,6.89,24.18,35.59,吉村 誠,52.0,6.66,-0.5,0.04,27.0,4.0,19.0,3.0,2,20260601,01,桐生,9,20260601_01_9,2-1-5,3800
2,4233,亀山 雅幸,A2,0.18,5.96,5.74,36.21,34.21,亀山 雅幸,52.4,6.86,0.0,0.05,27.0,4.0,19.0,3.0,1,20260601,01,桐生,9,20260601_01_9,2-1-5,3800
3,4057,松井 賢治,A2,0.16,5.89,5.14,35.58,27.68,松井 賢治,52.1,6.86,-0.5,0.12,27.0,4.0,19.0,3.0,4,20260601,01,桐生,9,20260601_01_9,2-1-5,3800
4,3313,本吉 正樹,B1,0.19,4.43,3.84,33.94,35.71,本吉 正樹,54.3,6.78,-0.5,0.03,27.0,4.0,19.0,3.0,4,20260601,01,桐生,9,20260601_01_9,2-1-5,3800
5,4201,佐竹 友樹,B1,0.16,3.82,5.47,29.35,27.0,佐竹 友樹,53.1,6.7,-0.5,-0.07,27.0,4.0,19.0,3.0,3,20260601,01,桐生,9,20260601_01_9,2-1-5,3800
6,4140,梶野 学志,A1,0.15,6.06,5.0,34.96,27.43,梶野 学志,52.4,6.8,-0.5,-0.07,27.0,4.0,19.0,3.0,4,20260601,01,桐生,9,20260601_01_9,2-1-5,3800
1,4504,前田 将太,A1,0.14,6.11,0.0,44.95,37.93,前田 将太,53.8,6.66,0.0,0.11,26.0,4.0,19.0,3.0,1,20260601,01,桐生,10,20260601_01_10,1-2-5,1830
2,4348,宮崎 奨,A2,0.16,5.71,5.06,31.48,30.97,宮崎 奨,52.9,6.8,-0.5,0.04,26.0,4.0,19.0,3.0,2,20260601,01,桐生,10,20260601_01_10,1-2-5,1830
3,4877,鈴谷 一平,A1,0.13,6.22,7.0,37.61,33.33,鈴谷 一平,55.1,6.76,-0.5,-0.01,26.0,4.0,19.0,3.0,4,20260601,01,桐生,10,20260601_01_10,1-2-5,1830
4,4220,深川 和仁,B1,0.17,4.55,4.89,30.77,30.7,深川 和仁,53.1,6.75,-0.5,-0.06,26.0,4.0,19.0,3.0,4,20260601,01,桐生,10,20260601_01_10,1-2-5,1830
5,5248,本田 愛,B1,0.22,4.42,4.22,11.86,31.48,本田 愛,47.2,6.72,-0.5,-0.04,26.0,4.0,19.0,3.0,3,20260601,01,桐生,10,20260601_01_10,1-2-5,1830
6,4488,小山 勉,A1,0.19,6.82,7.21,27.85,21.1,小山 勉,52.1,6.7,-0.5,-0.03,26.0,4.0,19.0,3.0,4,20260601,01,桐生,10,20260601_01_10,1-2-5,1830
1,3833,中辻 博訓,A1,0.13,6.08,6.07,33.33,43.75,中辻 博訓,52.5,6.85,0.0,0.14,25.0,3.0,19.0,2.0,2,20260601,01,桐生,11,20260601_01_11,3-1-5,6530
2,4467,渡邉 俊介,A2,0.13,6.58,5.48,22.89,29.2,渡邉 俊介,51.0,6.72,0.0,0.11,25.0,3.0,19.0,2.0,4,20260601,01,桐生,11,20260601_01_11,3-1-5,6530
3,4084,杉山 正樹,A1,0.16,6.76,6.42,33.33,36.52,杉山 正樹,52.5,6.73,0.0,0.18,25.0,3.0,19.0,2.0,1,20260601,01,桐生,11,20260601_01_11,3-1-5,6530
4,4090,中村 尊,A1,0.13,5.44,6.2,27.45,29.13,中村 尊,54.9,6.72,-0.5,0.09,25.0,3.0,19.0,2.0,4,20260601,01,桐生,11,20260601_01_11,3-1-5,6530
5,5002,上田 健太,A2,0.15,5.86,4.88,35.92,25.45,上田 健太,52.6,6.91,0.0,0.13,25.0,3.0,19.0,2.0,3,20260601,01,桐生,11,20260601_01_11,3-1-5,6530
6,4785,木幡 純也,B1,0.18,4.75,2.83,31.48,42.86,木幡 純也,52.2,6.84,-0.5,0.03,25.0,3.0,19.0,2.0,4,20260601,01,桐生,11,20260601_01_11,3-1-5,6530
1,5117,冨名腰 桃奈,B1,0.18,4.08,0.0,39.62,35.04,冨名腰 桃奈,46.0,6.56,-0.5,0.15,24.0,3.0,19.0,2.0,1,20260601,01,桐生,12,20260601_01_12,1-3-2,660
2,4765,野田部 宏子,B1,0.12,4.75,4.55,28.0,36.44,野田部 宏子,51.9,6.79,-0.5,0.17,24.0,3.0,19.0,2.0,3,20260601,01,桐生,12,20260601_01_12,1-3-2,660
3,5314,中曽 瑠華,B2,0.18,3.4,1.92,50.54,38.98,中曽 瑠華,51.2,6.62,-0.5,0.09,24.0,3.0,19.0,2.0,2,20260601,01,桐生,12,20260601_01_12,1-3-2,660
4,5327,西田 和加,B2,0.22,1.69,1.55,41.98,34.21,西田 和加,48.9,6.6,-0.5,0.29,24.0,3.0,19.0,2.0,4,20260601,01,桐生,12,20260601_01_12,1-3-2,660
5,5358,増本 杏珠,B1,0.17,2.66,0.0,22.5,27.43,増本 杏珠,48.6,6.77,-0.5,0.29,24.0,3.0,19.0,2.0,4,20260601,01,桐生,12,20260601_01_12,1-3-2,660
6,5454,谷島 咲希,B2,0.0,1.25,0.0,25.27,38.18,谷島 咲希,47.0,6.81,0.0,0.3,24.0,3.0,19.0,2.0,4,20260601,01,桐生,12,20260601_01_12,1-3-2,660
1,3518,倉田 郁美,B1,0.18,4.1,4.92,36.67,35.71,倉田 郁美,47.8,6.7,-0.5,0.05,26.0,2.0,25.0,2.0,1,20260601,05,多摩川,1,20260601_05_1,1-3-2,2760
2,3704,本部 めぐみ,B1,0.22,3.35,0.0,51.61,25.93,本部 めぐみ,45.5,6.6,0.0,0.13,26.0,2.0,25.0,2.0,3,20260601,05,多摩川,1,20260601_05_1,1-3-2,2760
3,4484,稲生 夏季,B1,0.19,4.77,4.72,26.09,35.71,稲生 夏季,48.6,6.71,0.0,0.22,26.0,2.0,25.0,2.0,2,20260601,05,多摩川,1,20260601_05_1,1-3-2,2760
4,5205,刑部 亜里紗,A2,0.19,5.69,6.39,31.03,29.41,刑部 亜里紗,47.9,6.7,0.0,0.14,26.0,2.0,25.0,2.0,4,20260601,05,多摩川,1,20260601_05_1,1-3-2,2760
5,5324,畑田 希咲,B2,0.23,2.27,1.33,42.86,48.39,畑田 希咲,48.5,6.7,0.0,0.15,26.0,2.0,25.0,2.0,4,20260601,05,多摩川,1,20260601_05_1,1-3-2,2760
6,3207,田村 美和,B1,0.17,3.36,4.32,43.33,42.86,田村 美和,50.9,6.77,0.0,0.09,26.0,2.0,25.0,2.0,4,20260601,05,多摩川,1,20260601_05_1,1-3-2,2760
1,5340,樋江井 舞,B1,0.18,3.98,2.26,35.0,33.33,樋江井 舞,45.0,6.62,0.0,0.12,30.0,5.0,24.0,2.0,3,20260601,05,多摩川,2,20260601_05_2,3-5-1,5950
2,4569,中澤 宏奈,B2,0.0,4.63,5.5,36.67,44.83,中澤 宏奈,46.5,6.67,0.0,0.2,30.0,5.0,24.0,2.0,4,20260601,05,多摩川,2,20260601_05_2,3-5-1,5950
3,4536,喜井 つかさ,A2,0.17,6.19,0.0,36.84,41.67,喜井 つかさ,47.0,6.73,-0.5,0.22,30.0,5.0,24.0,2.0,1,20260601,05,多摩川,2,20260601_05_2,3-5-1,5950
4,3474,松瀬 弘美,B1,0.17,4.45,0.0,29.41,25.81,松瀬 弘美,45.5,6.71,0.0,0.12,30.0,5.0,24.0,2.0,4,20260601,05,多摩川,2,20260601_05_2,3-5-1,5950
5,4123,細川 裕子,A1,0.19,6.67,7.9,43.33,47.62,細川 裕子,47.0,6.73,-0.5,0.09,30.0,5.0,24.0,2.0,2,20260601,05,多摩川,2,20260601_05_2,3-5-1,5950
6,4534,坂 咲友理,B1,0.21,4.03,4.89,45.0,50.0,坂 咲友理,46.0,6.65,-0.5,0.11,30.0,5.0,24.0,2.0,4,20260601,05,多摩川,2,20260601_05_2,3-5-1,5950
1,4680,後藤 美翼,B1,0.19,5.7,5.51,33.33,40.91,後藤 美翼,46.0,6.69,0.0,0.22,29.0,1.0,24.0,2.0,2,20260601,05,多摩川,3,20260601_05_3,2-1-3,950
2,4289,落合 直子,A2,0.14,5.59,7.78,36.36,25.0,落合 直子,47.0,6.67,0.0,0.21,29.0,1.0,24.0,2.0,1,20260601,05,多摩川,3,20260601_05_3,2-1-3,950
3,4208,三浦 永理,A1,0.15,7.14,6.55,31.82,64.29,三浦 永理,47.0,6.69,-0.5,0.19,29.0,1.0,24.0,2.0,3,20260601,05,多摩川,3,20260601_05_3,2-1-3,950
4,5108,柴田 愛梨,B2,0.31,2.65,0.0,38.1,40.91,柴田 愛梨,46.0,6.74,0.0,0.32,29.0,1.0,24.0,2.0,4,20260601,05,多摩川,3,20260601_05_3,2-1-3,950
5,5444,林 風音,B2,0.0,1.43,0.0,30.0,31.82,林 風音,55.2,6.81,0.0,0.29,29.0,1.0,24.0,2.0,4,20260601,05,多摩川,3,20260601_05_3,2-1-3,950
6,4283,石井 裕美,B1,0.17,4.06,3.98,37.5,30.77,石井 裕美,49.7,6.79,0.0,0.43,29.0,1.0,24.0,2.0,4,20260601,05,多摩川,3,20260601_05_3,2-1-3,950
1,5306,河内 悠利杏,B1,0.22,2.66,2.08,50.0,32.26,河内 悠利杏,47.7,6.71,0.0,0.09,29.0,2.0,24.0,2.0,1,20260601,05,多摩川,4,20260601_05_4,1-5-6,10090
2,4011,堀之内紀代子,A1,0.15,5.79,0.0,54.84,50.0,堀之内紀代子,46.5,6.67,0.0,0.09,29.0,2.0,24.0,2.0,4,20260601,05,多摩川,4,20260601_05_4,1-5-6,10090
3,5184,飯塚 響,B2,0.21,3.23,2.44,23.81,28.57,飯塚 響,45.5,6.8,0.0,0.11,29.0,2.0,24.0,2.0,4,20260601,05,多摩川,4,20260601_05_4,1-5-6,10090
4,4843,深尾 巴恵,B2,0.13,4.88,6.29,39.29,53.33,深尾 巴恵,47.0,6.71,0.0,-0.03,29.0,2.0,24.0,2.0,4,20260601,05,多摩川,4,20260601_05_4,1-5-6,10090
5,5188,武井 莉里佳,A2,0.17,6.08,5.8,42.86,53.33,武井 莉里佳,45.5,6.7,0.0,0.02,29.0,2.0,24.0,2.0,2,20260601,05,多摩川,4,20260601_05_4,1-5-6,10090
6,5153,佐藤 ほのか,B1,0.17,4.08,4.33,44.83,37.04,佐藤 ほのか,47.0,6.74,0.0,0.21,29.0,2.0,24.0,2.0,3,20260601,05,多摩川,4,20260601_05_4,1-5-6,10090
1,3704,本部 めぐみ,B1,0.22,3.35,0.0,51.61,25.93,本部 めぐみ,45.5,6.64,0.0,0.12,30.0,3.0,24.0,2.0,4,20260601,05,多摩川,5,20260601_05_5,4-5-6,1220
2,5357,田中 瀬里奈,B2,0.19,1.63,1.25,23.81,50.0,田中 瀬里奈,51.8,6.76,0.0,0.13,30.0,3.0,24.0,2.0,4,20260601,05,多摩川,5,20260601_05_5,4-5-6,1220
3,4900,中田 夕貴,A2,0.18,4.94,6.12,37.93,24.0,中田 夕貴,47.0,6.74,-0.5,0.16,30.0,3.0,24.0,2.0,4,20260601,05,多摩川,5,20260601_05_5,4-5-6,1220
4,4464,山下 友貴,B1,0.2,6.0,6.0,31.58,51.61,山下 友貴,44.0,6.72,-0.5,0.18,30.0,3.0,24.0,2.0,1,20260601,05,多摩川,5,20260601_05_5,4-5-6,1220
5,4286,平田 さやか,A2,0.15,5.85,6.25,38.1,32.26,平田 さやか,47.5,6.76,0.0,0.13,30.0,3.0,24.0,2.0,2,20260601,05,多摩川,5,20260601_05_5,4-5-6,1220
6,4690,高石 梨菜,B2,0.0,5.25,5.69,21.43,28.57,高石 梨菜,47.1,6.71,0.0,0.21,30.0,3.0,24.0,2.0,3,20260601,05,多摩川,5,20260601_05_5,4-5-6,1220
1,5324,畑田 希咲,B2,0.23,2.27,1.33,42.86,48.39,畑田 希咲,48.5,6.68,0.0,0.17,30.0,3.0,25.0,2.0,4,20260601,05,多摩川,6,20260601_05_6,2-5-4,1280
2,4589,塩崎 桐加,A2,0.15,4.88,6.08,36.67,36.67,塩崎 桐加,49.2,6.73,0.0,0.14,30.0,3.0,25.0,2.0,1,20260601,05,多摩川,6,20260601_05_6,2-5-4,1280
3,3355,橋谷田 佳織,B2,0.25,3.2,2.8,35.14,30.0,橋谷田 佳織,41.0,6.76,0.0,0.26,30.0,3.0,25.0,2.0,4,20260601,05,多摩川,6,20260601_05_6,2-5-4,1280
4,4738,清埜 翔子,A2,0.16,5.63,5.74,36.67,43.33,清埜 翔子,46.5,6.65,0.0,0.12,30.0,3.0,25.0,2.0,3,20260601,05,多摩川,6,20260601_05_6,2-5-4,1280
5,4845,前田 紗希,A1,0.15,7.28,5.24,33.33,42.31,前田 紗希,47.0,6.69,0.0,0.23,30.0,3.0,25.0,2.0,2,20260601,05,多摩川,6,20260601_05_6,2-5-4,1280
6,3357,福島 陽子,B1,0.2,4.04,3.88,55.0,37.04,福島 陽子,47.8,6.74,0.0,0.12,30.0,3.0,25.0,2.0,4,20260601,05,多摩川,6,20260601_05_6,2-5-4,1280
1,3993,永井 聖美,A2,0.17,5.36,5.6,35.0,28.57,永井 聖美,45.5,6.69,-0.5,0.09,30.0,1.0,25.0,2.0,4,20260601,05,多摩川,7,20260601_05_7,2-4-3,4500
2,4536,喜井 つかさ,A2,0.17,6.19,0.0,36.84,41.67,喜井 つかさ,47.0,6.72,-0.5,0.19,30.0,1.0,25.0,2.0,1,20260601,05,多摩川,7,20260601_05_7,2-4-3,4500
3,5230,石原 凪紗,B2,0.16,4.68,3.15,34.48,31.25,石原 凪紗,45.0,6.64,0.0,0.11,30.0,1.0,25.0,2.0,3,20260601,05,多摩川,7,20260601_05_7,2-4-3,4500
4,4546,浜田 亜理沙,A1,0.16,6.13,6.63,57.14,46.15,浜田 亜理沙,47.1,6.68,0.0,0.19,30.0,1.0,25.0,2.0,2,20260601,05,多摩川,7,20260601_05_7,2-4-3,4500
5,5108,柴田 愛梨,B2,0.31,2.65,0.0,38.1,40.91,柴田 愛梨,46.0,6.7,0.0,0.12,30.0,1.0,25.0,2.0,4,20260601,05,多摩川,7,20260601_05_7,2-4-3,4500
6,4484,稲生 夏季,B1,0.19,4.77,4.72,26.09,35.71,稲生 夏季,48.6,6.71,0.0,0.17,30.0,1.0,25.0,2.0,4,20260601,05,多摩川,7,20260601_05_7,2-4-3,4500
1,5205,刑部 亜里紗,A2,0.19,5.69,6.39,31.03,29.41,刑部 亜里紗,47.9,6.71,0.0,0.18,30.0,3.0,25.0,2.0,2,20260601,05,多摩川,8,20260601_05_8,2-1-4,1810
2,4117,廣中 智紗衣,A1,0.2,5.9,5.77,31.58,33.33,廣中 智紗衣,46.0,6.79,0.0,0.2,30.0,3.0,25.0,2.0,1,20260601,05,多摩川,8,20260601_05_8,2-1-4,1810
3,4534,坂 咲友理,B1,0.21,4.03,4.89,45.0,50.0,坂 咲友理,46.0,6.68,-0.5,0.26,30.0,3.0,25.0,2.0,4,20260601,05,多摩川,8,20260601_05_8,2-1-4,1810
4,4050,田口 節子,A1,0.14,6.78,7.21,26.32,40.0,田口 節子,47.0,6.67,0.0,0.22,30.0,3.0,25.0,2.0,3,20260601,05,多摩川,8,20260601_05_8,2-1-4,1810
5,4283,石井 裕美,B1,0.17,4.06,3.98,37.5,30.77,石井 裕美,49.7,6.76,0.0,0.17,30.0,3.0,25.0,2.0,4,20260601,05,多摩川,8,20260601_05_8,2-1-4,1810
6,4843,深尾 巴恵,B2,0.13,4.88,6.29,39.29,53.33,深尾 巴恵,47.0,6.66,0.0,0.12,30.0,3.0,25.0,2.0,4,20260601,05,多摩川,8,20260601_05_8,2-1-4,1810
1,5188,武井 莉里佳,A2,0.17,6.08,5.8,42.86,53.33,武井 莉里佳,45.5,6.63,0.0,-0.1,29.0,1.0,25.0,2.0,4,20260601,05,多摩川,9,20260601_05_9,4-3-5,57190
2,4909,薮内 瑞希,B1,0.15,5.36,5.18,37.93,43.33,薮内 瑞希,44.5,6.69,-0.5,-0.07,29.0,1.0,25.0,2.0,4,20260601,05,多摩川,9,20260601_05_9,4-3-5,57190
3,4289,落合 直子,A2,0.14,5.59,7.78,36.36,25.0,落合 直子,47.0,6.65,0.0,0.05,29.0,1.0,25.0,2.0,2,20260601,05,多摩川,9,20260601_05_9,4-3-5,57190
4,5297,南 彩寧,B1,0.2,3.4,1.44,25.0,30.0,南 彩寧,47.7,6.52,0.5,0.03,29.0,1.0,25.0,2.0,1,20260601,05,多摩川,9,20260601_05_9,4-3-5,57190
5,3474,松瀬 弘美,B1,0.17,4.45,0.0,29.41,25.81,松瀬 弘美,45.5,6.73,0.0,-0.03,29.0,1.0,25.0,2.0,3,20260601,05,多摩川,9,20260601_05_9,4-3-5,57190
6,4900,中田 夕貴,A2,0.18,4.94,6.12,37.93,23.08,中田 夕貴,47.0,6.69,-0.5,-0.02,29.0,1.0,25.0,2.0,4,20260601,05,多摩川,9,20260601_05_9,4-3-5,57190
1,4123,細川 裕子,A1,0.19,6.67,7.9,43.33,47.62,細川 裕子,47.0,6.73,-0.5,0.21,28.0,1.0,25.0,2.0,1,20260601,05,多摩川,10,20260601_05_10,1-2-5,810
